"Step","e75-30-baseline-20250607_004142 - val_auc","e75-30-baseline-20250607_004142 - val_auc__MIN","e75-30-baseline-20250607_004142 - val_auc__MAX","e75-28-baseline-20250607_003733 - val_auc","e75-28-baseline-20250607_003733 - val_auc__MIN","e75-28-baseline-20250607_003733 - val_auc__MAX","e75-29-baseline-20250607_003732 - val_auc","e75-29-baseline-20250607_003732 - val_auc__MIN","e75-29-baseline-20250607_003732 - val_auc__MAX","e75-26-baseline-20250607_002723 - val_auc","e75-26-baseline-20250607_002723 - val_auc__MIN","e75-26-baseline-20250607_002723 - val_auc__MAX","e75-27-baseline-20250607_002722 - val_auc","e75-27-baseline-20250607_002722 - val_auc__MIN","e75-27-baseline-20250607_002722 - val_auc__MAX","e75-25-baseline-20250607_002321 - val_auc","e75-25-baseline-20250607_002321 - val_auc__MIN","e75-25-baseline-20250607_002321 - val_auc__MAX","e75-24-baseline-20250607_001720 - val_auc","e75-24-baseline-20250607_001720 - val_auc__MIN","e75-24-baseline-20250607_001720 - val_auc__MAX","e75-23-baseline-20250607_001020 - val_auc","e75-23-baseline-20250607_001020 - val_auc__MIN","e75-23-baseline-20250607_001020 - val_auc__MAX","e75-22-baseline-20250606_234659 - val_auc","e75-22-baseline-20250606_234659 - val_auc__MIN","e75-22-baseline-20250606_234659 - val_auc__MAX","e75-21-baseline-20250606_233443 - val_auc","e75-21-baseline-20250606_233443 - val_auc__MIN","e75-21-baseline-20250606_233443 - val_auc__MAX","e75-20-baseline-20250606_233246 - val_auc","e75-20-baseline-20250606_233246 - val_auc__MIN","e75-20-baseline-20250606_233246 - val_auc__MAX","e75-19-baseline-20250606_233237 - val_auc","e75-19-baseline-20250606_233237 - val_auc__MIN","e75-19-baseline-20250606_233237 - val_auc__MAX","e75-18-baseline-20250606_232845 - val_auc","e75-18-baseline-20250606_232845 - val_auc__MIN","e75-18-baseline-20250606_232845 - val_auc__MAX","e75-17-baseline-20250606_232448 - val_auc","e75-17-baseline-20250606_232448 - val_auc__MIN","e75-17-baseline-20250606_232448 - val_auc__MAX","e75-16-baseline-20250606_224845 - val_auc","e75-16-baseline-20250606_224845 - val_auc__MIN","e75-16-baseline-20250606_224845 - val_auc__MAX","e75-15-baseline-20250606_224255 - val_auc","e75-15-baseline-20250606_224255 - val_auc__MIN","e75-15-baseline-20250606_224255 - val_auc__MAX","e75-14-baseline-20250606_223806 - val_auc","e75-14-baseline-20250606_223806 - val_auc__MIN","e75-14-baseline-20250606_223806 - val_auc__MAX","e75-13-baseline-20250606_223602 - val_auc","e75-13-baseline-20250606_223602 - val_auc__MIN","e75-13-baseline-20250606_223602 - val_auc__MAX","e75-12-baseline-20250606_221958 - val_auc","e75-12-baseline-20250606_221958 - val_auc__MIN","e75-12-baseline-20250606_221958 - val_auc__MAX","e75-11-baseline-20250606_221957 - val_auc","e75-11-baseline-20250606_221957 - val_auc__MIN","e75-11-baseline-20250606_221957 - val_auc__MAX","e75-10-baseline-20250606_221227 - val_auc","e75-10-baseline-20250606_221227 - val_auc__MIN","e75-10-baseline-20250606_221227 - val_auc__MAX","e75-9-baseline-20250606_215321 - val_auc","e75-9-baseline-20250606_215321 - val_auc__MIN","e75-9-baseline-20250606_215321 - val_auc__MAX","e75-8-baseline-20250606_215120 - val_auc","e75-8-baseline-20250606_215120 - val_auc__MIN","e75-8-baseline-20250606_215120 - val_auc__MAX","e75-7-baseline-20250606_214320 - val_auc","e75-7-baseline-20250606_214320 - val_auc__MIN","e75-7-baseline-20250606_214320 - val_auc__MAX","e75-6-baseline-20250606_214145 - val_auc","e75-6-baseline-20250606_214145 - val_auc__MIN","e75-6-baseline-20250606_214145 - val_auc__MAX","e75-5-baseline-20250606_213341 - val_auc","e75-5-baseline-20250606_213341 - val_auc__MIN","e75-5-baseline-20250606_213341 - val_auc__MAX","e75-1-baseline-20250606_210919 - val_auc","e75-1-baseline-20250606_210919 - val_auc__MIN","e75-1-baseline-20250606_210919 - val_auc__MAX","e75-4-baseline-20250606_210919 - val_auc","e75-4-baseline-20250606_210919 - val_auc__MIN","e75-4-baseline-20250606_210919 - val_auc__MAX","e75-3-baseline-20250606_210919 - val_auc","e75-3-baseline-20250606_210919 - val_auc__MIN","e75-3-baseline-20250606_210919 - val_auc__MAX","e75-2-baseline-20250606_210919 - val_auc","e75-2-baseline-20250606_210919 - val_auc__MIN","e75-2-baseline-20250606_210919 - val_auc__MAX"
"0","0.6480543710021321","0.6480543710021321","0.6480543710021321","0.6769722814498933","0.6769722814498933","0.6769722814498933","0.6509861407249468","0.6509861407249468","0.6509861407249468","0.48467484008528783","0.48467484008528783","0.48467484008528783","0.5798240938166311","0.5798240938166311","0.5798240938166311","0.6571162046908317","0.6571162046908317","0.6571162046908317","0.5631663113006395","0.5631663113006395","0.5631663113006395","0.5811567164179104","0.5811567164179104","0.5811567164179104","0.6096748400852878","0.6096748400852878","0.6096748400852878","0.46855010660980817","0.46855010660980817","0.46855010660980817","0.5731609808102347","0.5731609808102347","0.5731609808102347","0.6528518123667377","0.6528518123667377","0.6528518123667377","0.6404584221748401","0.6404584221748401","0.6404584221748401","0.5263859275053305","0.5263859275053305","0.5263859275053305","0.597547974413646","0.597547974413646","0.597547974413646","0.6162046908315565","0.6162046908315565","0.6162046908315565","0.6055437100213219","0.6055437100213219","0.6055437100213219","0.6323294243070363","0.6323294243070363","0.6323294243070363","0.5507729211087421","0.5507729211087421","0.5507729211087421","0.6275319829424306","0.6275319829424306","0.6275319829424306","0.6813699360341151","0.6813699360341151","0.6813699360341151","0.7116204690831556","0.7116204690831556","0.7116204690831556","0.6044776119402986","0.6044776119402986","0.6044776119402986","0.6395255863539445","0.6395255863539445","0.6395255863539445","0.5924840085287847","0.5924840085287847","0.5924840085287847","0.5617004264392325","0.5617004264392325","0.5617004264392325","0.4633528784648188","0.4633528784648188","0.4633528784648188","0.49133795309168443","0.49133795309168443","0.49133795309168443","0.5103944562899787","0.5103944562899787","0.5103944562899787","0.6372601279317698","0.6372601279317698","0.6372601279317698"
"1","0.632929104477612","0.632929104477612","0.632929104477612","0.6421908315565032","0.6421908315565032","0.6421908315565032","0.7250799573560768","0.7250799573560768","0.7250799573560768","0.5141257995735607","0.5141257995735607","0.5141257995735607","0.6719083155650319","0.6719083155650319","0.6719083155650319","0.6653784648187634","0.6653784648187634","0.6653784648187634","0.6905650319829424","0.6905650319829424","0.6905650319829424","0.5827558635394456","0.5827558635394456","0.5827558635394456","0.6341950959488274","0.6341950959488274","0.6341950959488274","0.636860341151386","0.636860341151386","0.636860341151386","0.5471748400852879","0.5471748400852879","0.5471748400852879","0.5696961620469083","0.5696961620469083","0.5696961620469083","0.550772921108742","0.550772921108742","0.550772921108742","0.6918976545842218","0.6918976545842218","0.6918976545842218","0.6107409381663113","0.6107409381663113","0.6107409381663113","0.6351279317697228","0.6351279317697228","0.6351279317697228","0.7202825159914712","0.7202825159914712","0.7202825159914712","0.6703091684434966","0.6703091684434966","0.6703091684434966","0.6664445628997867","0.6664445628997867","0.6664445628997867","0.5089285714285714","0.5089285714285714","0.5089285714285714","0.6170042643923241","0.6170042643923241","0.6170042643923241","0.5415778251599147","0.5415778251599147","0.5415778251599147","0.758128997867804","0.758128997867804","0.758128997867804","0.5848880597014925","0.5848880597014925","0.5848880597014925","0.5395788912579957","0.5395788912579957","0.5395788912579957","0.6415245202558635","0.6415245202558635","0.6415245202558635","0.6569829424307037","0.6569829424307037","0.6569829424307037","0.5250533049040511","0.5250533049040511","0.5250533049040511","0.7357409381663114","0.7357409381663114","0.7357409381663114","0.585954157782516","0.585954157782516","0.585954157782516"
"2","0.7157515991471216","0.7157515991471216","0.7157515991471216","0.4505597014925373","0.4505597014925373","0.4505597014925373","0.7501332622601279","0.7501332622601279","0.7501332622601279","0.5602345415778252","0.5602345415778252","0.5602345415778252","0.6588486140724948","0.6588486140724948","0.6588486140724948","0.7473347547974414","0.7473347547974414","0.7473347547974414","0.5946162046908315","0.5946162046908315","0.5946162046908315","0.6419243070362474","0.6419243070362474","0.6419243070362474","0.6324626865671642","0.6324626865671642","0.6324626865671642","0.6307302771855011","0.6307302771855011","0.6307302771855011","0.6761727078891258","0.6761727078891258","0.6761727078891258","0.4857409381663113","0.4857409381663113","0.4857409381663113","0.5950159914712153","0.5950159914712153","0.5950159914712153","0.6831023454157783","0.6831023454157783","0.6831023454157783","0.7309434968017058","0.7309434968017058","0.7309434968017058","0.5825559701492538","0.5825559701492538","0.5825559701492538","0.6411247334754798","0.6411247334754798","0.6411247334754798","0.6728411513859275","0.6728411513859275","0.6728411513859275","0.6046108742004265","0.6046108742004265","0.6046108742004265","0.6719749466950959","0.6719749466950959","0.6719749466950959","0.6455223880597015","0.6455223880597015","0.6455223880597015","0.6875000000000001","0.6875000000000001","0.6875000000000001","0.5798240938166311","0.5798240938166311","0.5798240938166311","0.6675106609808102","0.6675106609808102","0.6675106609808102","0.4830756929637527","0.4830756929637527","0.4830756929637527","0.6757729211087421","0.6757729211087421","0.6757729211087421","0.6548507462686567","0.6548507462686567","0.6548507462686567","0.5464418976545842","0.5464418976545842","0.5464418976545842","0.4505597014925373","0.4505597014925373","0.4505597014925373","0.6452558635394458","0.6452558635394458","0.6452558635394458"
"3","0.755996801705757","0.755996801705757","0.755996801705757","0.7052238805970149","0.7052238805970149","0.7052238805970149","0.7184168443496802","0.7184168443496802","0.7184168443496802","0.4462953091684435","0.4462953091684435","0.4462953091684435","0.6116737739872067","0.6116737739872067","0.6116737739872067","0.6140724946695096","0.6140724946695096","0.6140724946695096","0.7509328358208954","0.7509328358208954","0.7509328358208954","0.715085287846482","0.715085287846482","0.715085287846482","0.6867004264392325","0.6867004264392325","0.6867004264392325","0.5702292110874201","0.5702292110874201","0.5702292110874201","0.6142057569296375","0.6142057569296375","0.6142057569296375","0.5603678038379531","0.5603678038379531","0.5603678038379531","0.5670309168443497","0.5670309168443497","0.5670309168443497","0.7316098081023454","0.7316098081023454","0.7316098081023454","0.6152718550106611","0.6152718550106611","0.6152718550106611","0.7169509594882729","0.7169509594882729","0.7169509594882729","0.5403784648187634","0.5403784648187634","0.5403784648187634","0.6592484008528784","0.6592484008528784","0.6592484008528784","0.6892324093816632","0.6892324093816632","0.6892324093816632","0.4736140724946695","0.4736140724946695","0.4736140724946695","0.7222814498933902","0.7222814498933902","0.7222814498933902","0.5916844349680171","0.5916844349680171","0.5916844349680171","0.6019456289978677","0.6019456289978677","0.6019456289978677","0.5450426439232409","0.5450426439232409","0.5450426439232409","0.7213486140724947","0.7213486140724947","0.7213486140724947","0.7248134328358208","0.7248134328358208","0.7248134328358208","0.6596481876332623","0.6596481876332623","0.6596481876332623","0.6928304904051172","0.6928304904051172","0.6928304904051172","0.7511993603411514","0.7511993603411514","0.7511993603411514","0.706956289978678","0.706956289978678","0.706956289978678"
"4","0.7967750533049041","0.7967750533049041","0.7967750533049041","0.6884328358208954","0.6884328358208954","0.6884328358208954","0.7385394456289979","0.7385394456289979","0.7385394456289979","0.6192697228144989","0.6192697228144989","0.6192697228144989","0.6164712153518124","0.6164712153518124","0.6164712153518124","0.5554371002132196","0.5554371002132196","0.5554371002132196","0.7477345415778252","0.7477345415778252","0.7477345415778252","0.7262793176972282","0.7262793176972282","0.7262793176972282","0.6053438166311301","0.6053438166311301","0.6053438166311301","0.5229211087420043","0.5229211087420043","0.5229211087420043","0.631130063965885","0.631130063965885","0.631130063965885","0.7101545842217484","0.7101545842217484","0.7101545842217484","0.6031449893390192","0.6031449893390192","0.6031449893390192","0.6616471215351812","0.6616471215351812","0.6616471215351812","0.6728411513859275","0.6728411513859275","0.6728411513859275","0.7072228144989339","0.7072228144989339","0.7072228144989339","0.7194829424307037","0.7194829424307037","0.7194829424307037","0.6788379530916845","0.6788379530916845","0.6788379530916845","0.6319296375266524","0.6319296375266524","0.6319296375266524","0.705090618336887","0.705090618336887","0.705090618336887","0.761860341151386","0.761860341151386","0.761860341151386","0.624866737739872","0.624866737739872","0.624866737739872","0.6917643923240938","0.6917643923240938","0.6917643923240938","0.7118869936034115","0.7118869936034115","0.7118869936034115","0.7112206823027719","0.7112206823027719","0.7112206823027719","0.7382729211087421","0.7382729211087421","0.7382729211087421","0.6428571428571428","0.6428571428571428","0.6428571428571428","0.45162579957356075","0.45162579957356075","0.45162579957356075","0.7802505330490406","0.7802505330490406","0.7802505330490406","0.7190831556503198","0.7190831556503198","0.7190831556503198"
"5","0.7097547974413646","0.7097547974413646","0.7097547974413646","0.6565831556503199","0.6565831556503199","0.6565831556503199","0.7077558635394456","0.7077558635394456","0.7077558635394456","0.5994136460554371","0.5994136460554371","0.5994136460554371","0.7759861407249466","0.7759861407249466","0.7759861407249466","0.7097547974413646","0.7097547974413646","0.7097547974413646","0.644589552238806","0.644589552238806","0.644589552238806","0.7093550106609807","0.7093550106609807","0.7093550106609807","0.6827025586353945","0.6827025586353945","0.6827025586353945","0.6361940298507462","0.6361940298507462","0.6361940298507462","0.6355277185501066","0.6355277185501066","0.6355277185501066","0.7100213219616205","0.7100213219616205","0.7100213219616205","0.6030117270788913","0.6030117270788913","0.6030117270788913","0.7130863539445629","0.7130863539445629","0.7130863539445629","0.6917643923240938","0.6917643923240938","0.6917643923240938","0.7196162046908315","0.7196162046908315","0.7196162046908315","0.6693763326226013","0.6693763326226013","0.6693763326226013","0.7252798507462687","0.7252798507462687","0.7252798507462687","0.6885660980810234","0.6885660980810234","0.6885660980810234","0.5699626865671641","0.5699626865671641","0.5699626865671641","0.6789712153518124","0.6789712153518124","0.6789712153518124","0.628731343283582","0.628731343283582","0.628731343283582","0.7086886993603412","0.7086886993603412","0.7086886993603412","0.6224680170575693","0.6224680170575693","0.6224680170575693","0.7261460554371003","0.7261460554371003","0.7261460554371003","0.6747734541577826","0.6747734541577826","0.6747734541577826","0.4938699360341151","0.4938699360341151","0.4938699360341151","0.7221481876332623","0.7221481876332623","0.7221481876332623","0.730543710021322","0.730543710021322","0.730543710021322","0.7398720682302772","0.7398720682302772","0.7398720682302772"
"6","0.7551972281449892","0.7551972281449892","0.7551972281449892","0.7055570362473348","0.7055570362473348","0.7055570362473348","0.7563299573560767","0.7563299573560767","0.7563299573560767","0.6825692963752665","0.6825692963752665","0.6825692963752665","0.7453358208955223","0.7453358208955223","0.7453358208955223","0.6835021321961621","0.6835021321961621","0.6835021321961621","0.6759728144989339","0.6759728144989339","0.6759728144989339","0.7238805970149254","0.7238805970149254","0.7238805970149254","0.4163113006396588","0.4163113006396588","0.4163113006396588","0.5826226012793176","0.5826226012793176","0.5826226012793176","0.6491204690831556","0.6491204690831556","0.6491204690831556","0.752132196162047","0.752132196162047","0.752132196162047","0.6026119402985074","0.6026119402985074","0.6026119402985074","0.7358742004264393","0.7358742004264393","0.7358742004264393","0.7289445628997868","0.7289445628997868","0.7289445628997868","0.7498001066098081","0.7498001066098081","0.7498001066098081","0.5219882729211087","0.5219882729211087","0.5219882729211087","0.7472014925373135","0.7472014925373135","0.7472014925373135","0.7378065031982942","0.7378065031982942","0.7378065031982942","0.7158848614072495","0.7158848614072495","0.7158848614072495","0.7333422174840085","0.7333422174840085","0.7333422174840085","0.4017857142857143","0.4017857142857143","0.4017857142857143","0.7641257995735609","0.7641257995735609","0.7641257995735609","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.7365405117270789","0.7365405117270789","0.7365405117270789","0.7273454157782517","0.7273454157782517","0.7273454157782517","0.7101545842217485","0.7101545842217485","0.7101545842217485","0.748067697228145","0.748067697228145","0.748067697228145","0.8155650319829424","0.8155650319829424","0.8155650319829424","0.7993070362473348","0.7993070362473348","0.7993070362473348"
"7","0.7308768656716418","0.7308768656716418","0.7308768656716418","0.7329424307036249","0.7329424307036249","0.7329424307036249","0.7121535181236673","0.7121535181236673","0.7121535181236673","0.6662446695095948","0.6662446695095948","0.6662446695095948","0.7429371002132196","0.7429371002132196","0.7429371002132196","0.6860341151385928","0.6860341151385928","0.6860341151385928","0.75","0.75","0.75","0.7798507462686568","0.7798507462686568","0.7798507462686568","0.7257462686567164","0.7257462686567164","0.7257462686567164","0.6648454157782516","0.6648454157782516","0.6648454157782516","0.543043710021322","0.543043710021322","0.543043710021322","0.7783848614072494","0.7783848614072494","0.7783848614072494","0.554704157782516","0.554704157782516","0.554704157782516","0.5660980810234542","0.5660980810234542","0.5660980810234542","0.6970948827292112","0.6970948827292112","0.6970948827292112","0.6356609808102345","0.6356609808102345","0.6356609808102345","0.6431236673773987","0.6431236673773987","0.6431236673773987","0.5167910447761194","0.5167910447761194","0.5167910447761194","0.6435234541577826","0.6435234541577826","0.6435234541577826","0.6296641791044776","0.6296641791044776","0.6296641791044776","0.545042643923241","0.545042643923241","0.545042643923241","0.7706556503198293","0.7706556503198293","0.7706556503198293","0.7433368869936035","0.7433368869936035","0.7433368869936035","0.7079557569296374","0.7079557569296374","0.7079557569296374","0.7084221748400853","0.7084221748400853","0.7084221748400853","0.7422707889125799","0.7422707889125799","0.7422707889125799","0.6864339019189766","0.6864339019189766","0.6864339019189766","0.6930303837953091","0.6930303837953091","0.6930303837953091","0.7875799573560768","0.7875799573560768","0.7875799573560768","0.8070362473347548","0.8070362473347548","0.8070362473347548"
"8","0.7490005330490405","0.7490005330490405","0.7490005330490405","0.7485341151385928","0.7485341151385928","0.7485341151385928","0.6477878464818764","0.6477878464818764","0.6477878464818764","0.7416044776119403","0.7416044776119403","0.7416044776119403","0.7368070362473348","0.7368070362473348","0.7368070362473348","0.74613539445629","0.74613539445629","0.74613539445629","0.7939765458422176","0.7939765458422176","0.7939765458422176","0.812366737739872","0.812366737739872","0.812366737739872","0.5804904051172709","0.5804904051172709","0.5804904051172709","0.6893656716417911","0.6893656716417911","0.6893656716417911","0.693430170575693","0.693430170575693","0.693430170575693","0.7934434968017058","0.7934434968017058","0.7934434968017058","0.6287313432835822","0.6287313432835822","0.6287313432835822","0.7098880597014925","0.7098880597014925","0.7098880597014925","0.7036247334754799","0.7036247334754799","0.7036247334754799","0.5999466950959489","0.5999466950959489","0.5999466950959489","0.7645922174840085","0.7645922174840085","0.7645922174840085","0.539045842217484","0.539045842217484","0.539045842217484","0.7370735607675907","0.7370735607675907","0.7370735607675907","0.5806236673773988","0.5806236673773988","0.5806236673773988","0.579957356076759","0.579957356076759","0.579957356076759","0.7875799573560768","0.7875799573560768","0.7875799573560768","0.7448027718550106","0.7448027718550106","0.7448027718550106","0.7801172707889127","0.7801172707889127","0.7801172707889127","0.7833155650319829","0.7833155650319829","0.7833155650319829","0.7125533049040512","0.7125533049040512","0.7125533049040512","0.750066631130064","0.750066631130064","0.750066631130064","0.6300639658848614","0.6300639658848614","0.6300639658848614","0.6664445628997867","0.6664445628997867","0.6664445628997867","0.7699893390191898","0.7699893390191898","0.7699893390191898"
"9","0.7102878464818764","0.7102878464818764","0.7102878464818764","0.7268123667377399","0.7268123667377399","0.7268123667377399","0.49187100213219614","0.49187100213219614","0.49187100213219614","0.7549307036247335","0.7549307036247335","0.7549307036247335","0.693496801705757","0.693496801705757","0.693496801705757","0.7758528784648187","0.7758528784648187","0.7758528784648187","0.5716950959488273","0.5716950959488273","0.5716950959488273","0.785047974413646","0.785047974413646","0.785047974413646","0.5537046908315565","0.5537046908315565","0.5537046908315565","0.6195362473347548","0.6195362473347548","0.6195362473347548","0.6847014925373135","0.6847014925373135","0.6847014925373135","0.7089552238805971","0.7089552238805971","0.7089552238805971","0.5202558635394456","0.5202558635394456","0.5202558635394456","0.6287313432835822","0.6287313432835822","0.6287313432835822","0.7737206823027718","0.7737206823027718","0.7737206823027718","0.6302638592750532","0.6302638592750532","0.6302638592750532","0.7277452025586354","0.7277452025586354","0.7277452025586354","0.6893656716417911","0.6893656716417911","0.6893656716417911","0.6083422174840086","0.6083422174840086","0.6083422174840086","0.6034115138592749","0.6034115138592749","0.6034115138592749","0.6873667377398721","0.6873667377398721","0.6873667377398721","0.820362473347548","0.820362473347548","0.820362473347548","0.6851012793176973","0.6851012793176973","0.6851012793176973","0.7434701492537313","0.7434701492537313","0.7434701492537313","0.767723880597015","0.767723880597015","0.767723880597015","0.7470682302771854","0.7470682302771854","0.7470682302771854","0.6341284648187634","0.6341284648187634","0.6341284648187634","0.7287446695095949","0.7287446695095949","0.7287446695095949","0.7461353944562901","0.7461353944562901","0.7461353944562901","0.7372068230277186","0.7372068230277186","0.7372068230277186"
"10","0.6479211087420043","0.6479211087420043","0.6479211087420043","0.7196162046908315","0.7196162046908315","0.7196162046908315","0.6880330490405118","0.6880330490405118","0.6880330490405118","0.7495335820895522","0.7495335820895522","0.7495335820895522","0.7301439232409381","0.7301439232409381","0.7301439232409381","0.36713752665245203","0.36713752665245203","0.36713752665245203","0.7773187633262262","0.7773187633262262","0.7773187633262262","0.8058368869936033","0.8058368869936033","0.8058368869936033","0.5732942430703626","0.5732942430703626","0.5732942430703626","0.5567030916844349","0.5567030916844349","0.5567030916844349","0.6044776119402986","0.6044776119402986","0.6044776119402986","0.6567164179104479","0.6567164179104479","0.6567164179104479","0.5","0.5","0.5","0.8095682302771855","0.8095682302771855","0.8095682302771855","0.36247334754797433","0.36247334754797433","0.36247334754797433","0.7899786780383795","0.7899786780383795","0.7899786780383795","0.4367004264392324","0.4367004264392324","0.4367004264392324","0.7458688699360342","0.7458688699360342","0.7458688699360342","0.6356609808102346","0.6356609808102346","0.6356609808102346","0.6450559701492538","0.6450559701492538","0.6450559701492538","0.7276119402985074","0.7276119402985074","0.7276119402985074","0.8426172707889125","0.8426172707889125","0.8426172707889125","0.7361407249466951","0.7361407249466951","0.7361407249466951","0.6368603411513859","0.6368603411513859","0.6368603411513859","0.7726545842217484","0.7726545842217484","0.7726545842217484","0.7799840085287847","0.7799840085287847","0.7799840085287847","0.6140058635394456","0.6140058635394456","0.6140058635394456","0.783049040511727","0.783049040511727","0.783049040511727","0.8162313432835822","0.8162313432835822","0.8162313432835822","0.6323294243070361","0.6323294243070361","0.6323294243070361"
"11","0.7314765458422176","0.7314765458422176","0.7314765458422176","0.7795842217484008","0.7795842217484008","0.7795842217484008","0.7563965884861408","0.7563965884861408","0.7563965884861408","0.7714552238805971","0.7714552238805971","0.7714552238805971","0.5759594882729211","0.5759594882729211","0.5759594882729211","0.6042110874200427","0.6042110874200427","0.6042110874200427","0.7931769722814499","0.7931769722814499","0.7931769722814499","0.7973081023454158","0.7973081023454158","0.7973081023454158","0.5848880597014926","0.5848880597014926","0.5848880597014926","0.6617803837953091","0.6617803837953091","0.6617803837953091","0.6067430703624733","0.6067430703624733","0.6067430703624733","0.6340618336886994","0.6340618336886994","0.6340618336886994","0.6800373134328359","0.6800373134328359","0.6800373134328359","0.4896055437100213","0.4896055437100213","0.4896055437100213","0.7062899786780383","0.7062899786780383","0.7062899786780383","0.802905117270789","0.802905117270789","0.802905117270789","0.7253464818763325","0.7253464818763325","0.7253464818763325","0.6848347547974414","0.6848347547974414","0.6848347547974414","0.7181503198294243","0.7181503198294243","0.7181503198294243","0.7336087420042643","0.7336087420042643","0.7336087420042643","0.7246801705756929","0.7246801705756929","0.7246801705756929","0.8117004264392323","0.8117004264392323","0.8117004264392323","0.7889125799573561","0.7889125799573561","0.7889125799573561","0.7266791044776119","0.7266791044776119","0.7266791044776119","0.7054904051172708","0.7054904051172708","0.7054904051172708","0.7630597014925373","0.7630597014925373","0.7630597014925373","0.7225479744136462","0.7225479744136462","0.7225479744136462","0.5926172707889126","0.5926172707889126","0.5926172707889126","0.8006396588486141","0.8006396588486141","0.8006396588486141","0.7730543710021323","0.7730543710021323","0.7730543710021323"
"12","0.7474680170575693","0.7474680170575693","0.7474680170575693","0.7385394456289979","0.7385394456289979","0.7385394456289979","0.7770522388059702","0.7770522388059702","0.7770522388059702","0.7324093816631129","0.7324093816631129","0.7324093816631129","0.5775586353944563","0.5775586353944563","0.5775586353944563","0.49906716417910446","0.49906716417910446","0.49906716417910446","0.8110341151385927","0.8110341151385927","0.8110341151385927","0.8190298507462688","0.8190298507462688","0.8190298507462688","","","","0.6878997867803838","0.6878997867803838","0.6878997867803838","0.7141524520255864","0.7141524520255864","0.7141524520255864","0.7742537313432837","0.7742537313432837","0.7742537313432837","0.6906982942430704","0.6906982942430704","0.6906982942430704","0.7340085287846483","0.7340085287846483","0.7340085287846483","0.7727212153518125","0.7727212153518125","0.7727212153518125","0.6653784648187633","0.6653784648187633","0.6653784648187633","0.6572494669509595","0.6572494669509595","0.6572494669509595","0.7982409381663113","0.7982409381663113","0.7982409381663113","0.693230277185501","0.693230277185501","0.693230277185501","0.64818763326226","0.64818763326226","0.64818763326226","0.7221481876332623","0.7221481876332623","0.7221481876332623","0.8119669509594883","0.8119669509594883","0.8119669509594883","0.630996801705757","0.630996801705757","0.630996801705757","0.5447761194029851","0.5447761194029851","0.5447761194029851","0.7957089552238806","0.7957089552238806","0.7957089552238806","0.822228144989339","0.822228144989339","0.822228144989339","0.8062366737739872","0.8062366737739872","0.8062366737739872","0.5275852878464818","0.5275852878464818","0.5275852878464818","0.7677238805970149","0.7677238805970149","0.7677238805970149","0.7750533049040512","0.7750533049040512","0.7750533049040512"
"13","0.7647921108742004","0.7647921108742004","0.7647921108742004","0.8081023454157782","0.8081023454157782","0.8081023454157782","0.7898454157782515","0.7898454157782515","0.7898454157782515","0.7679904051172708","0.7679904051172708","0.7679904051172708","0.45962153518123666","0.45962153518123666","0.45962153518123666","0.7032249466950959","0.7032249466950959","0.7032249466950959","0.8123667377398721","0.8123667377398721","0.8123667377398721","0.8081023454157782","0.8081023454157782","0.8081023454157782","","","","0.6256663113006395","0.6256663113006395","0.6256663113006395","0.699227078891258","0.699227078891258","0.699227078891258","0.7555970149253731","0.7555970149253731","0.7555970149253731","0.5089285714285714","0.5089285714285714","0.5089285714285714","0.7830490405117271","0.7830490405117271","0.7830490405117271","0.7583955223880597","0.7583955223880597","0.7583955223880597","0.5795575692963753","0.5795575692963753","0.5795575692963753","0.6809701492537313","0.6809701492537313","0.6809701492537313","0.7701226012793176","0.7701226012793176","0.7701226012793176","0.76159381663113","0.76159381663113","0.76159381663113","0.6697761194029851","0.6697761194029851","0.6697761194029851","0.7385394456289979","0.7385394456289979","0.7385394456289979","0.8097014925373135","0.8097014925373135","0.8097014925373135","0.8227611940298508","0.8227611940298508","0.8227611940298508","0.7368736673773987","0.7368736673773987","0.7368736673773987","0.7531982942430703","0.7531982942430703","0.7531982942430703","0.8147654584221748","0.8147654584221748","0.8147654584221748","0.7180170575692963","0.7180170575692963","0.7180170575692963","0.8030383795309168","0.8030383795309168","0.8030383795309168","0.6427238805970149","0.6427238805970149","0.6427238805970149","0.7919776119402986","0.7919776119402986","0.7919776119402986"
